,date,temp_degC,precip,RH,wind
0,2018-01-02,-15.8853625,0.7823193265824885,83.92291666666667,1.3510449870435133
1,2018-01-03,-8.004247916666667,0.7823193265824885,90.088125,2.0894951690249597
2,2018-01-04,-6.541718749999998,0.7823193265824885,90.56791666666666,1.6261786841172774
3,2018-01-05,-13.166999730191847,0.7823193265824885,86.93979166666666,1.1680430184300405
4,2018-01-06,-14.570241291705898,0.7823193265824885,85.396875,1.2127458440856034
5,2018-01-07,-10.667968749999998,0.7823193265824885,86.87270833333334,2.467116091131511
6,2018-01-08,-16.565293750000002,0.7823193265824885,82.00770833333334,1.9128087317215603
7,2018-01-09,-18.211170833333334,0.7823193265824885,79.23541666666667,2.136264377915934
8,2018-01-10,-16.084552083333335,0.7823193265824885,66.940625,4.301808848908215
9,2018-01-11,-23.447589583333333,0.7823193265824885,76.16520833333334,1.8345624640736127
10,2018-01-12,-21.16805,0.7823193265824885,79.18645833333333,0.7249730031052739
11,2018-01-13,-23.761722916666667,0.7823193265824885,77.363125,1.0437265898703842
12,2018-01-14,-20.364295833333333,0.7823193265824885,79.34479166666667,1.0461664068187295
13,2018-01-15,-5.878039583333334,0.7823193265824885,83.84020833333334,2.768382025864805
14,2018-01-16,-4.146964583333336,0.7823193265824885,93.361875,1.6556018964820847
15,2018-01-17,-5.793595833333334,0.7823193265824885,92.08770833333334,1.5888305222355972
16,2018-01-18,1.1789208333333316,0.7823193265824885,99.0113882751379,1.5496090387043993
17,2018-01-19,-4.71088440547582,0.7823193265824885,94.86625,1.0245435489377184
18,2018-01-20,-8.488309950104911,0.7823193265824885,91.69229166666666,0.7539443421701384
19,2018-01-21,-13.908372994484015,0.7823193265824885,86.80708333333334,0.8697996911754201
20,2018-01-22,-24.303469017209167,0.7823193265824885,78.66333333333333,1.0666727667578215
21,2018-01-23,-25.704854166666664,0.7823193265824885,78.04104166666667,0.6896702790856227
22,2018-01-24,-22.670450000000002,0.7823193265824885,80.50666666666666,0.7015528789836003
23,2018-01-25,-31.057848068181816,0.7823193265824885,74.50504924242425,1.0735184875060915
24,2018-01-26,-30.662706250000003,0.7823193265824885,74.440625,0.9390771983180627
25,2018-01-27,-31.385624999999997,0.7823193265824885,73.799375,1.0102619698792368
26,2018-01-28,-22.335995833333335,0.7823193265824885,80.42270833333333,1.3705866590993838
27,2018-01-29,-25.82657291666667,0.7823193265824885,76.74770833333334,1.225784656436759
28,2018-01-30,-30.323877083333333,0.7823193265824885,73.74958333333333,1.027475756965715
29,2018-01-31,-26.809091666666664,0.7823193265824885,76.42291666666667,1.2583014980577192
30,2018-02-01,-18.741683333333334,0.7823193265824885,79.49729166666667,2.922679846107392
31,2018-02-02,-23.824052083333335,0.8867606295557319,76.87708333333333,2.12497471735855
32,2018-02-03,-26.51172916666666,0.8867606295557319,74.9975,1.1034804265204174
33,2018-02-04,-20.000933333333336,0.8867606295557319,78.94229166666666,2.090009493239009
34,2018-02-05,-22.28421875,0.8867606295557319,77.61604166666666,1.0857975603252634
35,2018-02-06,-24.187825,0.8867606295557319,76.54020833333334,0.9191049380723916
36,2018-02-07,-11.599925,0.8867606295557319,82.71916666666667,2.118258247374488
37,2018-02-08,-19.832079166666666,0.8867606295557319,78.936875,1.7382041099277719
38,2018-02-09,-24.7780625,0.8867606295557319,75.965,1.41088343143339
39,2018-02-10,-20.568612499999997,0.8867606295557319,78.38979166666667,1.275303993077809
40,2018-02-11,-19.57335833333333,0.8867606295557319,79.16916666666667,1.45107060332125
41,2018-02-12,-17.8421375,0.8867606295557319,82.62645833333333,1.0234726857963703
42,2018-02-13,-8.138922916666669,0.8867606295557319,91.23333333333333,0.8977565723962887
43,2018-02-14,-4.165412500000003,0.8867606295557319,92.38583333333334,2.336614230015972
44,2018-02-15,-5.151735416666664,0.8867606295557319,92.90791666666667,1.5020063348564983
45,2018-02-16,-4.485014583333335,0.8867606295557319,92.82708333333333,1.3622049867998913
46,2018-02-17,-7.708287500000002,0.8867606295557319,89.23125,1.4493539397012984
47,2018-02-18,-12.254087499999995,0.8867606295557319,87.490625,0.9926605417631137
48,2018-02-19,-8.87018541666667,0.8867606295557319,89.451875,1.1180918249448548
49,2018-02-20,-6.122514583333331,0.8867606295557319,91.896875,0.9479375132531065
50,2018-02-21,-3.4627312499999987,0.8867606295557319,92.46229166666667,1.9112111009257577
51,2018-02-22,-5.550243749999999,0.8867606295557319,88.39125,1.6591047783401394
52,2018-02-23,-4.485012499999999,0.8867606295557319,93.77208333333333,0.8470613515312478
53,2018-02-24,-5.8432875,0.8867606295557319,86.05131829972566,4.721816579641659
54,2018-02-25,-16.8338,0.8867606295557319,79.453125,1.8760404770059722
55,2018-02-26,-15.097945833333334,0.8867606295557319,78.56395833333333,3.2675111513934176
56,2018-02-27,-14.796229166666668,0.8867606295557319,82.64833333333333,1.2414452518487968
57,2018-02-28,-12.716129166666674,0.8867606295557319,84.23625,3.0309589872174474
58,2018-03-01,-17.86161458333333,0.8867606295557319,83.46229166666667,1.57638819232172
59,2018-03-02,-24.173112500000002,0.8867606295557319,72.43458333333334,1.5657437481223329
60,2018-03-03,-17.8029125,0.8867606295557319,77.44958333333334,1.2198956136195356
61,2018-03-04,-11.985293586612032,0.8867606295557319,85.17666666666666,0.8001864665608301
62,2018-03-05,-10.034764583333327,0.8867606295557319,85.91,0.8511965059322792
63,2018-03-06,-13.56153958333333,0.8867606295557319,79.81161799305994,1.3279045318804255
64,2018-03-07,-7.402693749999997,1.2128639104260879,87.70979166666666,1.0183144771751063
